image444097.jpeg	{"description":{"captions":[{"confidence":0.6306601762771606,"text":"a group of people posing for a photo in front of a bar"}],"tags":["text","building","outdoor","store","restaurant","shop"]},"metadata":{"format":"Jpeg","height":513,"width":791},"modelVersion":"2021-05-01","requestId":"0372684f-361d-4267-a6d2-6f56b04462a0"}
image450113.jpeg	{"description":{"captions":[{"confidence":0.452620267868042,"text":"a group of people sitting at a table with a stick"}],"tags":["person","table","indoor","sitting","people"]},"metadata":{"format":"Jpeg","height":1473,"width":2200},"modelVersion":"2021-05-01","requestId":"973478c9-0ea0-4e2c-9997-354136c51d61"}
image219090.jpeg	{"description":{"captions":[{"confidence":0.382053941488266,"text":"people walking on a street"}],"tags":["building","outdoor","road","street","city","town"]},"metadata":{"format":"Jpeg","height":295,"width":430},"modelVersion":"2021-05-01","requestId":"65a645c4-939b-4126-9766-801956d01162"}
image230121.jpeg	{"description":{"captions":[{"confidence":0.6172995567321777,"text":"a group of people posing for a photo"}],"tags":["grass","sky","outdoor","tree","person","group","field","people","grassy","posing","team","line","crowd"]},"metadata":{"format":"Jpeg","height":720,"width":960},"modelVersion":"2021-05-01","requestId":"585cb6f1-952a-4771-8ba7-6fb0ed03b499"}
image584746.png	{"description":{"captions":[{"confidence":0.4358672797679901,"text":"a man and a woman walking down a hallway"}],"tags":["luggage","platform","train","pulling","subway"]},"metadata":{"format":"Jpeg","height":212,"width":213},"modelVersion":"2021-05-01","requestId":"c4135a62-dc3e-4d5a-80eb-27cdc198c0e3"}
image324182.png	{"description":{"captions":[{"confidence":0.449043333530426,"text":"a teacher and her students in a classroom"}],"tags":["text","person","computer"]},"metadata":{"format":"Jpeg","height":316,"width":400},"modelVersion":"2021-05-01","requestId":"b69d9e23-8d4d-4a26-b2d0-cb716743adc6"}
image399589.png	{"description":{"captions":[{"confidence":0.38031628727912903,"text":"a hallway with blue doors"}],"tags":["floor","indoor","building","tiled"]},"metadata":{"format":"Jpeg","height":400,"width":600},"modelVersion":"2021-05-01","requestId":"35589903-bf61-4edc-92e2-62c13a3171c9"}
image432313.jpeg	{"description":{"captions":[{"confidence":0.3604450821876526,"text":"a man in a blue shirt"}],"tags":["text","person","wall","indoor","man","laptop","computer","working"]},"metadata":{"format":"Jpeg","height":324,"width":260},"modelVersion":"2021-05-01","requestId":"fdeb1166-d79a-4468-8123-ba288ca65003"}
image384076.jpeg	{"description":{"captions":[{"confidence":0.46783632040023804,"text":"a man sitting in the snow"}],"tags":["outdoor","snow","person","man","snowboarding"]},"metadata":{"format":"Jpeg","height":2778,"width":2220},"modelVersion":"2021-05-01","requestId":"62943158-4682-44eb-9c41-643073dd7a25"}
image189867.jpeg	{"description":{"captions":[{"confidence":0.4151175320148468,"text":"a group of straw huts"}],"tags":["sky","outdoor","grass","building","farm building","barn","day","several"]},"metadata":{"format":"Jpeg","height":600,"width":800},"modelVersion":"2021-05-01","requestId":"bb7ae5d3-ba24-4fcf-a1aa-6f6803f27024"}
